Date,Adj Close,Rets,Adjusted Returns,Returns,,,,,,
2017-01-01,992.95,,,,,,,,Data,
2017-01-02,1011.45,1.86%,35.31%,1.423486257,,,,,Mean,0.002738743
2017-01-03,1020.67,0.91%,14.17%,1.152212951,,,,,STDEV,0.045007658
2017-01-04,1130.30,10.74%,232.56%,10.23311035,,,,,Min,-3.547040965
2017-01-05,1007.00,-10.91%,-248.46%,0.083361115,,,,,Max,5.983005238
2017-01-06,895.71,-11.05%,-251.64%,0.080753627,,,,,Bucketwidth,0.095300462
2017-01-07,909.00,1.48%,26.88%,1.308410587,,,,,Count,817
2017-01-08,923.33,1.58%,28.94%,1.335644185,,,,,,
2017-01-09,902.66,-2.24%,-55.82%,0.572214888,,,,,,
2017-01-10,907.00,0.48%,4.60%,1.047049203,,,,,,
2017-01-11,795.77,-12.26%,-278.56%,0.061691416,,,,,,
2017-01-12,812.25,2.07%,39.93%,1.490754305,,,,,Normal,Bond Returns Added
2017-01-13,831.42,2.36%,46.35%,1.589674418,,,,,0.39894228,0.414899972
2017-01-14,828.00,-0.41%,-15.22%,0.858777917,,,,,0.39894228,0.418889394
2017-01-15,833.31,0.64%,8.16%,1.085062106,,,,,0.39894228,0.418889394
2017-01-16,834.41,0.13%,-3.15%,0.968970182,,,,,0.39894228,0.418889394
2017-01-17,906.00,8.58%,184.54%,6.330810869,,,,,0.39894228,0.418889394
2017-01-18,887.99,-1.99%,-50.25%,0.605003024,,,,,0.39894228,0.418889394
2017-01-19,902.92,1.68%,31.27%,1.367130005,,,,,0.39894228,0.418889394
2017-01-20,894.31,-0.95%,-27.27%,0.761306208,,,,,0.39894228,0.418889394
2017-01-21,925.06,3.44%,70.31%,2.020024004,,,,,0.39894228,0.418889394
2017-01-22,931.22,0.67%,8.71%,1.09100862,,,,,0.39894228,0.418889394
2017-01-23,910.70,-2.20%,-55.04%,0.576691689,,,,,0.39894228,0.418889394
2017-01-24,887.00,-2.60%,-63.91%,0.527787293,,,,,0.39894228,0.418889394
2017-01-25,896.00,1.01%,16.46%,1.178909873,,,,,0.39894228,0.418889394
2017-01-26,917.02,2.35%,46.04%,1.584691987,,,,,0.39894228,0.418889394
2017-01-27,922.63,0.61%,7.51%,1.07796377,,,,,0.39894228,0.418889394
2017-01-28,924.98,0.25%,-0.43%,0.9957503,,,,,0.39894228,0.418889394
2017-01-29,916.54,-0.91%,-26.36%,0.768293659,,,,,0.39894228,0.418889394
2017-01-30,923.23,0.73%,10.13%,1.10663738,,,,,0.39894228,0.418889394
2017-01-31,970.01,5.07%,106.50%,2.900712126,,,,,0.39894228,0.418889394
2017-02-01,992.75,2.34%,46.00%,1.584101842,,,,,0.39894228,0.418889394
2017-02-02,1008.38,1.57%,28.90%,1.335038001,,,,,0.39894228,0.418889394
2017-02-03,1018.00,0.95%,15.11%,1.163129867,,,,,0.39894228,0.418889394
2017-02-04,1035.54,1.72%,32.20%,1.379843493,,,,,0.39894228,0.418889394
2017-02-05,1016.32,-1.86%,-47.32%,0.622984916,,,,,0.39894228,0.418889394
2017-02-06,1022.58,0.62%,7.60%,1.078966222,,,,,0.39894228,0.418889394
2017-02-07,1053.96,3.07%,62.10%,1.860729476,,,,,0.39894228,0.418889394
2017-02-08,1056.70,0.26%,-0.31%,0.996915869,,,,,0.39894228,0.418889394
2017-02-09,994.24,-5.91%,-137.42%,0.253054514,,,,,0.39894228,0.418889394
2017-02-10,1001.99,0.78%,11.23%,1.1188931,,,,,0.39894228,0.418889394
2017-02-11,1018.65,1.66%,30.86%,1.361481537,,,,,0.39894228,0.418889394
2017-02-12,1010.00,-0.85%,-24.95%,0.779173599,,,,,0.39894228,0.418889394
2017-02-13,1002.82,-0.71%,-21.88%,0.803482783,,,,,0.39894228,0.418889394
2017-02-14,1013.92,1.11%,18.51%,1.203315384,,,,,0.39894228,0.418889394
2017-02-15,1014.53,0.06%,-4.75%,0.953626279,,,,,0.39894228,0.418889394
2017-02-16,1038.94,2.41%,47.37%,1.605979789,,,,,0.39894228,0.418889394
2017-02-17,1057.30,1.77%,33.18%,1.39346093,,,,,0.39894228,0.418889394
2017-02-18,1062.15,0.46%,4.11%,1.041923841,,,,,0.39894228,0.418889394
2017-02-19,1059.88,-0.21%,-10.83%,0.89732668,,,,,0.39894228,0.418889394
2017-02-20,1089.82,2.82%,56.68%,1.762594037,,,,,0.39894228,0.418889394
2017-02-21,1128.29,3.53%,72.34%,2.061527472,,,,,0.39894228,0.418889394
2017-02-22,1128.71,0.04%,-5.26%,0.948778505,,,,,0.39894228,0.418889394
2017-02-23,1186.90,5.16%,108.46%,2.958281284,,,,,0.39894228,0.418889394
2017-02-24,1186.91,0.00%,-6.07%,0.941139968,,,,,0.39894228,0.418889394
2017-02-25,1158.00,-2.44%,-60.20%,0.547696881,,,,,0.39894228,0.418889394
2017-02-26,1184.91,2.32%,45.55%,1.576912987,,,,,0.39894228,0.418889394
2017-02-27,1195.81,0.92%,14.35%,1.154349612,,,,,0.39894228,0.418889394
2017-02-28,1195.08,-0.06%,-7.44%,0.928287135,,,,,0.39894228,0.418889394
2017-03-01,1230.00,2.92%,58.84%,1.801046401,,,,,0.39894228,0.418889394
2017-03-02,1269.17,3.18%,64.67%,1.909244085,,,,,0.39894228,0.418889394
2017-03-03,1292.86,1.87%,35.39%,1.424574383,,,,,0.39894228,0.418889394
2017-03-04,1273.97,-1.46%,-38.55%,0.680120946,,,,,0.39894228,0.418889394
2017-03-05,1278.98,0.39%,2.65%,1.026880316,,,,,0.39894228,0.418889394
2017-03-06,1284.99,0.47%,4.36%,1.044517566,,,,,0.39894228,0.418889394
2017-03-07,1237.36,-3.71%,-88.44%,0.412958144,,,,,0.39894228,0.418889394
2017-03-08,1150.22,-7.04%,-162.56%,0.196800458,,,,,0.39894228,0.418889394
2017-03-09,1197.30,4.09%,84.86%,2.33632476,,,,,0.39894228,0.418889394
2017-03-10,1109.01,-7.37%,-169.93%,0.182818974,,,,,0.39894228,0.418889394
2017-03-11,1188.11,7.13%,152.39%,4.589985855,,,,,0.39894228,0.418889394
2017-03-12,1235.58,4.00%,82.69%,2.286151251,,,,,0.39894228,0.418889394
2017-03-13,1245.49,0.80%,11.74%,1.124516263,,,,,0.39894228,0.418889394
2017-03-14,1247.42,0.15%,-2.64%,0.973924875,,,,,0.39894228,0.418889394
2017-03-15,1263.00,1.25%,21.67%,1.241912853,,,,,0.39894228,0.418889394
2017-03-16,1175.11,-6.96%,-160.70%,0.20048943,,,,,0.39894228,0.418889394
2017-03-17,1069.57,-8.98%,-205.64%,0.127919702,,,,,0.39894228,0.418889394
2017-03-18,970.00,-9.31%,-212.92%,0.118927318,,,,,0.39894228,0.418889394
2017-03-19,1019.49,5.10%,107.27%,2.923402004,,,,,0.39894228,0.418889394
2017-03-20,1044.96,2.50%,49.42%,1.639242893,,,,,0.39894228,0.418889394
2017-03-21,1114.42,6.65%,141.60%,4.120775036,,,,,0.39894228,0.418889394
2017-03-22,1034.57,-7.17%,-165.28%,0.191505655,,,,,0.39894228,0.418889394
2017-03-23,1025.14,-0.91%,-26.34%,0.768457955,,,,,0.39894228,0.418889394
2017-03-24,934.87,-8.81%,-201.73%,0.133010985,,,,,0.39894228,0.418889394
2017-03-25,963.72,3.09%,62.48%,1.867888026,,,,,0.39894228,0.418889394
2017-03-26,973.08,0.97%,15.49%,1.167591404,,,,,0.39894228,0.418889394
2017-03-27,1042.08,7.09%,151.46%,4.547755792,,,,,0.39894228,0.418889394
